fips,county,deaths,ypll_rate,ypll_z,phys_unhealthy_days,phys_unhealthy_z,low_birthweight_pct,low_birthweight_z,mental_unhealthy_days,mental_unhealthy_z,fair_poor_health_pct,fair_poor_health_z,vaccinated_pct,exercise_access_pct,exercise_access_z,food_environment_index,food_environment_z,primary_care_ratio,primary_care_z,mental_health_ratio,mental_health_z,pm25,pm25_z
55001,Adams,447,11056,0.15,4.5,0.03,7,-0.43,5.5,-0.21,17,-0.53,24,45,0.77,8.0,-0.44,10438:1,1.23,1341:1,0.59,7.8,0.06
55003,Ashland,316,12410,0.50,4.6,0.21,7,-0.69,5.7,0.06,19,-0.06,53,69,-0.28,7.3,0.15,575:1,-3.00,244:1,-0.86,5.2,-1.24
55005,Barron,678,7673,-0.74,4.2,-0.33,6,-1.22,5.5,-0.19,17,-0.50,33,74,-0.50,8.4,-0.79,994:1,-1.28,976:1,0.47,6.7,-0.49
55007,Bayfield,251,7971,-0.66,3.9,-0.79,5,-1.39,5.6,-0.13,15,-1.03,52,68,-0.23,7.8,-0.27,2331:1,0.31,419:1,-0.12,5.6,-1.04
55009,Brown,2968,6167,-1.13,3.9,-0.83,7,-0.66,5.1,-0.98,15,-0.90,56,91,-1.29,8.6,-0.96,1442:1,-0.42,382:1,-0.22,7.3,-0.19
55011,Buffalo,148,5033,-1.42,3.9,-0.85,6,-0.93,5.6,-0.03,15,-1.03,40,64,-0.08,8.6,-0.96,4434:1,0.87,6710:1,0.85,7.5,-0.09
55013,Burnett,298,8122,-0.62,4.3,-0.28,6,-1.02,5.5,-0.22,18,-0.32,25,65,-0.11,8.5,-0.87,5581:1,1.00,900:1,0.43,5.7,-0.99
55015,Calumet,472,4553,-1.55,3.5,-1.39,6,-0.93,5.1,-0.92,13,-1.38,53,83,-0.92,9.4,-1.64,6567:1,1.07,2956:1,0.76,8.2,0.26
55017,Chippewa,814,6527,-1.03,4.0,-0.64,6,-1.17,5.3,-0.54,15,-0.99,52,58,0.20,8.6,-0.96,1393:1,-0.49,985:1,0.47,7.7,0.01
55019,Clark,486,7843,-0.69,4.5,0.07,5,-1.58,5.6,-0.11,19,-0.19,29,35,1.21,8.4,-0.79,4964:1,0.94,1581:1,0.64,7.5,-0.09
55021,Columbia,759,6231,-1.11,3.9,-0.83,6,-1.29,5.7,0.04,14,-1.09,53,69,-0.29,9.0,-1.30,2543:1,0.41,700:1,0.29,8.4,0.36
55023,Crawford,229,6916,-0.93,4.3,-0.24,6,-0.98,5.7,0.04,18,-0.36,41,54,0.37,8.1,-0.53,1340:1,-0.57,839:1,0.40,8.1,0.21
55025,Dane,4949,5427,-1.32,3.4,-1.58,7,-0.58,5.1,-0.86,13,-1.34,69,94,-1.41,9.0,-1.30,781:1,-2.04,197:1,-1.28,8.4,0.36
55027,Dodge,1318,7421,-0.80,4.2,-0.41,7,-0.80,5.2,-0.77,18,-0.36,54,71,-0.40,9.1,-1.38,1751:1,-0.08,741:1,0.33,7.6,-0.04
55029,Door,433,5837,-1.21,3.7,-1.19,8,-0.27,5.1,-0.97,16,-0.82,32,79,-0.76,9.0,-1.30,1446:1,-0.41,784:1,0.36,7.0,-0.34
55031,Douglas,733,8763,-0.45,4.0,-0.72,7,-0.66,5.5,-0.17,14,-1.22,48,81,-0.83,7.9,-0.36,4018:1,0.81,546:1,0.12,5.7,-0.99
55033,Dunn,516,5952,-1.18,4.2,-0.38,6,-0.93,5.6,-0.02,16,-0.78,53,53,0.40,8.5,-0.87,1340:1,-0.57,440:1,-0.07,7.4,-0.14
55035,Eau Claire,1156,6237,-1.11,4.1,-0.51,6,-0.92,5.5,-0.18,15,-0.92,58,82,-0.88,8.4,-0.79,705:1,-2.42,243:1,-0.86,7.7,0.01
55037,Florence,,,-0.75,4.2,-0.40,11,1.03,5.4,-0.42,19,-0.11,34,63,-0.02,8.6,-0.96,1531:1,-0.31,4682:1,0.82,5.5,-1.09
55039,Fond du Lac,1509,7377,-0.81,4.1,-0.55,7,-0.52,5.4,-0.39,16,-0.76,56,79,-0.74,8.6,-0.96,2087:1,0.17,568:1,0.15,8.1,0.21
55041,Forest,185,11728,0.32,4.8,0.48,9,0.08,5.8,0.28,19,-0.09,29,82,-0.87,7.3,0.15,,-0.29,583:1,0.17,5.7,-0.99
55043,Grant,652,7009,-0.91,4.3,-0.30,7,-0.86,5.3,-0.51,18,-0.36,42,67,-0.20,8.8,-1.13,2369:1,0.33,565:1,0.15,8.2,0.26
55045,Green,432,5852,-1.21,3.7,-1.14,7,-0.86,5.4,-0.42,16,-0.73,58,67,-0.21,9.2,-1.47,1370:1,-0.52,660:1,0.26,9.1,0.71
55047,Green Lake,296,8058,-0.63,4.2,-0.40,7,-0.44,5.7,0.04,21,0.25,53,66,-0.15,8.6,-0.96,1202:1,-0.80,967:1,0.46,7.9,0.11
55049,Iowa,274,5478,-1.31,3.8,-0.96,6,-1.20,5.3,-0.54,14,-1.26,46,41,0.95,9.3,-1.55,1980:1,0.10,1261:1,0.57,8.5,0.41
55051,Iron,109,5870,-1.21,4.1,-0.62,5,-1.53,5.4,-0.44,15,-1.01,33,47,0.67,8.5,-0.87,6178:1,1.05,623:1,0.22,5.6,-1.04
55053,Jackson,365,9145,-0.35,4.4,-0.08,6,-1.31,5.7,0.05,17,-0.48,49,40,1.01,7.7,-0.19,1112:1,-0.99,579:1,0.17,7.7,0.01
55055,Jefferson,1193,7008,-0.91,3.9,-0.86,6,-1.02,5.4,-0.40,15,-1.07,54,75,-0.56,9.2,-1.47,2574:1,0.42,841:1,0.40,9.0,0.66
55057,Juneau,496,8839,-0.43,4.4,-0.07,8,-0.39,5.7,0.16,19,-0.19,29,52,0.45,7.7,-0.19,1340:1,-0.56,451:1,-0.05,7.9,0.11
55059,Kenosha,2443,7666,-0.74,4.1,-0.55,8,-0.26,5.8,0.19,18,-0.36,54,95,-1.45,8.1,-0.53,2033:1,0.14,566:1,0.15,7.1,-0.29
55061,Kewaunee,247,6209,-1.12,3.7,-1.13,6,-1.35,5.5,-0.28,15,-1.05,37,50,0.55,9.6,-1.81,1868:1,0.02,1149:1,0.54,7.2,-0.24
55063,La Crosse,1353,6575,-1.02,3.8,-1.07,7,-0.73,5.1,-0.93,14,-1.20,63,83,-0.90,8.8,-1.13,717:1,-2.35,255:1,-0.78,7.7,0.01
55065,Lafayette,201,7606,-0.75,4.2,-0.47,6,-1.14,5.4,-0.35,16,-0.73,40,48,0.65,8.9,-1.21,4196:1,0.84,530:1,0.10,8.9,0.61
55067,Langlade,359,8311,-0.57,4.3,-0.22,8,-0.22,5.6,-0.12,16,-0.67,33,60,0.09,7.7,-0.19,1219:1,-0.77,882:1,0.42,6.7,-0.49
55069,Lincoln,485,8877,-0.42,4.1,-0.51,8,-0.17,5.7,0.08,16,-0.80,46,67,-0.19,8.7,-1.04,2039:1,0.14,1420:1,0.61,7.0,-0.34
55071,Manitowoc,1187,7254,-0.84,3.9,-0.81,8,-0.12,4.9,-1.21,15,-0.96,57,73,-0.47,8.5,-0.87,2145:1,0.21,678:1,0.27,7.7,0.01
55073,Marathon,1741,6974,-0.92,3.9,-0.80,7,-0.70,5.2,-0.69,15,-1.05,52,73,-0.49,8.8,-1.13,1059:1,-1.11,411:1,-0.14,7.8,0.06
55075,Marinette,768,8697,-0.47,4.1,-0.53,7,-0.84,5.8,0.18,18,-0.25,36,60,0.10,8.2,-0.61,1745:1,-0.09,619:1,0.21,7.0,-0.34
55077,Marquette,338,10606,0.03,4.3,-0.33,6,-1.18,5.7,0.08,19,-0.04,46,29,1.47,8.8,-1.13,5264:1,0.97,1218:1,0.56,7.8,0.06
55078,Menominee,133,27937,3.00,5.5,1.56,9,0.12,6.3,1.01,26,1.23,53,1,2.72,6.5,0.83,1072:1,-1.08,302:1,-0.52,6.8,-0.44
55079,Milwaukee,15424,11226,0.19,4.4,-0.08,11,1.23,5.7,0.05,19,-0.21,53,98,-1.60,8.5,-0.87,1298:1,-0.63,256:1,-0.77,9.1,0.71
55081,Monroe,680,7458,-0.79,4.2,-0.41,7,-0.72,5.2,-0.75,16,-0.82,42,59,0.12,8.3,-0.70,1593:1,-0.24,398:1,-0.17,8.0,0.16
55083,Oconto,597,6794,-0.96,4.1,-0.59,7,-0.73,5.2,-0.67,17,-0.53,33,60,0.12,9.1,-1.38,3280:1,0.65,1894:1,0.68,7.2,-0.24
55085,Oneida,596,6918,-0.93,4.0,-0.78,7,-0.76,5.5,-0.27,14,-1.20,46,72,-0.42,8.9,-1.21,1417:1,-0.45,338:1,-0.36,6.2,-0.74
55087,Outagamie,2125,6072,-1.15,3.7,-1.12,7,-0.84,5.6,-0.08,15,-0.88,56,88,-1.15,9.0,-1.30,1107:1,-1.00,339:1,-0.36,7.5,-0.09
55089,Ozaukee,846,4855,-1.47,3.5,-1.54,6,-1.08,4.9,-1.18,12,-1.64,60,96,-1.50,9.2,-1.47,665:1,-2.65,326:1,-0.41,6.5,-0.59
55091,Pepin,90,5546,-1.29,3.9,-0.92,6,-0.98,5.3,-0.51,16,-0.76,46,66,-0.16,,-0.89,1473:1,-0.38,3721:1,0.79,7.3,-0.19
55093,Pierce,449,5140,-1.40,3.9,-0.84,5,-1.39,5.1,-0.89,15,-1.03,53,73,-0.49,9.1,-1.38,2662:1,0.46,1229:1,0.56,7.4,-0.14
55095,Polk,700,7642,-0.74,3.8,-0.99,7,-0.71,5.2,-0.76,17,-0.46,22,65,-0.13,9.0,-1.30,1262:1,-0.69,462:1,-0.02,6.7,-0.49
55097,Portage,766,5999,-1.17,3.7,-1.09,7,-0.72,5.4,-0.44,15,-1.07,56,70,-0.35,9.0,-1.30,2202:1,0.24,602:1,0.19,7.8,0.06
55099,Price,227,6009,-1.17,4.2,-0.40,7,-0.45,5.5,-0.26,16,-0.73,25,66,-0.16,8.2,-0.61,7025:1,1.10,1007:1,0.48,6.2,-0.74
55101,Racine,3144,9277,-0.32,3.9,-0.93,9,0.39,5.4,-0.38,18,-0.29,55,90,-1.24,8.8,-1.13,2316:1,0.30,568:1,0.15,9.0,0.66
55103,Richland,242,7313,-0.83,4.4,-0.14,7,-0.89,5.4,-0.40,17,-0.53,49,43,0.84,6.9,0.49,1324:1,-0.59,661:1,0.26,8.0,0.16
55105,Rock,2536,8626,-0.49,4.0,-0.71,8,-0.15,5.2,-0.81,16,-0.80,55,88,-1.13,7.9,-0.36,1957:1,0.08,438:1,-0.07,9.3,0.81
55107,Rusk,268,9153,-0.35,4.4,-0.04,5,-1.49,5.6,-0.16,17,-0.46,24,39,1.02,7.4,0.07,2018:1,0.13,1414:1,0.61,6.5,-0.59
55109,St. Croix,876,4919,-1.45,3.6,-1.38,6,-1.33,5.2,-0.73,12,-1.70,51,81,-0.82,9.4,-1.64,1901:1,0.04,529:1,0.10,7.3,-0.19
55111,Sauk,902,7554,-0.77,4.1,-0.59,6,-0.96,5.4,-0.45,17,-0.48,51,74,-0.53,9.0,-1.30,995:1,-1.28,496:1,0.04,7.4,-0.14
55113,Sawyer,335,11331,0.22,4.4,-0.15,6,-1.32,5.7,0.10,18,-0.40,37,67,-0.20,7.5,-0.02,1307:1,-0.62,309:1,-0.48,5.9,-0.89
55115,Shawano,624,7118,-0.88,4.5,0.04,7,-0.68,5.9,0.33,16,-0.78,38,48,0.64,8.7,-1.04,1857:1,0.01,563:1,0.15,7.4,-0.14
55117,Sheboygan,1539,6926,-0.93,4.0,-0.72,7,-0.61,5.1,-0.87,14,-1.11,59,86,-1.03,9.2,-1.47,1635:1,-0.19,553:1,0.13,7.7,0.01
55119,Taylor,247,6980,-0.92,4.3,-0.27,5,-1.42,5.2,-0.70,17,-0.55,22,56,0.30,8.1,-0.53,3985:1,0.80,802:1,0.37,6.2,-0.74
55121,Trempealeau,355,6005,-1.17,4.0,-0.68,7,-0.71,5.3,-0.57,16,-0.82,43,80,-0.76,9.0,-1.30,3841:1,0.78,1717:1,0.66,7.8,0.06
55123,Vernon,433,7508,-0.78,4.1,-0.60,5,-1.72,5.5,-0.22,17,-0.55,36,54,0.36,8.4,-0.79,966:1,-1.36,577:1,0.16,8.1,0.21
55125,Vilas,409,10459,-0.01,3.8,-0.95,8,-0.18,5.4,-0.45,16,-0.69,43,88,-1.15,8.7,-1.04,1384:1,-0.50,955:1,0.46,5.0,-1.34
55127,Walworth,1409,7248,-0.85,3.7,-1.15,7,-0.85,5.1,-0.97,14,-1.24,57,82,-0.88,8.3,-0.70,2322:1,0.31,670:1,0.27,9.1,0.71
55129,Washburn,308,9092,-0.36,4.1,-0.52,6,-1.04,5.5,-0.24,17,-0.57,30,65,-0.12,8.3,-0.70,1047:1,-1.14,677:1,0.27,5.8,-0.94
55131,Washington,1532,5784,-1.23,3.4,-1.58,6,-0.95,5.0,-1.09,13,-1.45,59,94,-1.38,9.3,-1.55,1715:1,-0.12,674:1,0.27,8.7,0.51
55133,Waukesha,4200,5179,-1.39,3.2,-1.91,6,-0.90,4.4,-2.12,12,-1.55,60,97,-1.55,9.3,-1.55,713:1,-2.37,318:1,-0.44,8.8,0.56
55135,Waupaca,845,7173,-0.87,3.9,-0.86,6,-1.24,5.3,-0.59,15,-0.90,46,74,-0.53,8.9,-1.21,1719:1,-0.11,934:1,0.45,7.7,0.01
55137,Waushara,456,8261,-0.58,4.5,0.06,7,-0.88,5.5,-0.22,19,-0.09,48,31,1.39,8.5,-0.87,3547:1,0.72,639:1,0.24,7.7,0.01
55139,Winnebago,2178,7250,-0.85,3.9,-0.88,7,-0.45,5.6,-0.16,15,-1.01,56,88,-1.15,8.4,-0.79,1271:1,-0.68,334:1,-0.38,8.3,0.31
55141,Wood,1137,7716,-0.72,4.0,-0.72,7,-0.45,5.4,-0.48,17,-0.57,39,79,-0.76,8.3,-0.70,726:1,-2.31,503:1,0.05,7.8,0.06
